"","track_name","artist_name","album_name","artist_genres","track_popularity","artist_popularity","mood_danceability","mood_valence","mood_energy","mood_tempo","prop_loudness","prop_speechiness","prop_instrumentalness","context_liveness","context_acousticness"
"1","Blinding Lights","The Weeknd","Blinding Lights","['canadian contemporary r&b', 'canadian pop', 'pop']","17","97","0.513","0.345","0.796","171.017","-4.075","0.0629","0.000209","0.0938","0.00147"
"2","Watermelon Sugar","Harry Styles","Fine Line","['pop']","88","93","0.548","0.557","0.816","95.39","-4.209","0.0465","0.0","0.335","0.122"
"3","Break My Heart","Dua Lipa","Break My Heart","['dance pop', 'pop', 'uk pop']","67","94","0.73","0.467","0.729","113.012","-3.434","0.0886","1.39e-06","0.349","0.167"
"4","Say So","Doja Cat","Hot Pink","['dance pop', 'pop']","80","94","0.787","0.779","0.673","110.962","-4.583","0.159","3.35e-06","0.0904","0.264"
"5","positions","Ariana Grande","positions","['dance pop', 'pop']","10","93","0.736","0.675","0.802","144.005","-4.759","0.0864","0.0","0.094","0.468"
"6","The Box","Roddy Ricch","Please Excuse Me for Being Antisocial","['melodic rap', 'rap', 'trap']","80","84","0.896","0.642","0.586","116.971","-6.687","0.0559","0.0","0.79","0.104"
"7","Intentions (feat. Quavo)","Justin Bieber","Changes","['canadian pop', 'pop']","75","96","0.806","0.874","0.546","147.986","-6.637","0.0575","0.0","0.102","0.3"
"8","Rain On Me (with Ariana Grande)","Lady Gaga","Rain On Me (with Ariana Grande)","['art pop', 'dance pop', 'pop']","74","88","0.672","0.646","0.855","123.056","-3.764","0.0397","0.0","0.323","0.021"
"9","ROCKSTAR (feat. Roddy Ricch)","DaBaby","BLAME IT ON BABY","['north carolina hip hop', 'rap', 'trap']","80","89","0.746","0.497","0.69","89.977","-7.956","0.164","0.0","0.101","0.247"
"10","WAP (feat. Megan Thee Stallion)","Cardi B","WAP (feat. Megan Thee Stallion)","['dance pop', 'pop', 'pop rap', 'rap']","80","86","0.935","0.357","0.454","133.073","-7.509","0.375","0.0","0.0824","0.0194"
"11","death bed (coffee for your head)","Powfu","death bed (coffee for your head)","['sad rap']","82","77","0.726","0.348","0.431","144.026","-8.765","0.135","0.0","0.696","0.731"
"12","Dynamite","BTS","Dynamite","['k-pop', 'k-pop boy group']","0","96","0.746","0.737","0.765","114.044","-4.41","0.0993","0.0","0.0936","0.0112"
"13","Mood (feat. iann dior)","24kGoldn","Mood (feat. iann dior)","['cali rap', 'pop rap']","12","81","0.7","0.756","0.722","90.989","-3.558","0.0369","0.0","0.272","0.221"
"14","cardigan","Taylor Swift","folklore","['pop']","48","98","0.613","0.551","0.581","130.033","-8.588","0.0424","0.000345","0.25","0.537"
"15","Roses - Imanbek Remix","SAINt JHN","Roses (Imanbek Remix)","['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']","59","76","0.785","0.894","0.721","121.962","-5.457","0.0506","0.00432","0.285","0.0149"
"16","What You Know Bout Love","Pop Smoke","Shoot For The Stars Aim For The Moon","['brooklyn drill']","81","88","0.709","0.543","0.548","83.995","-8.493","0.353","1.59e-06","0.133","0.65"
"17","Toosie Slide","Drake","Toosie Slide","['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","73","98","0.834","0.837","0.454","81.618","-9.75","0.201","6.15e-06","0.114","0.321"
"18","Dance Monkey","Tones And I","Dance Monkey","['australian pop', 'pop']","63","78","0.826","0.541","0.593","98.083","-6.401","0.0976","0.000161","0.17","0.688"
"19","Blueberry Faygo","Lil Mosey","Certified Hitmaker","['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']","75","77","0.774","0.349","0.554","99.034","-7.909","0.0383","0.0","0.132","0.207"
"20","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money","B4 The Storm","['rap', 'trap']","56","79","0.8","0.462","0.658","140.042","-6.142","0.079","0.0","0.111","0.25"
"21","Come & Go (with Marshmello)","Juice WRLD","Come & Go (with Marshmello)","['chicago rap', 'melodic rap']","63","95","0.625","0.532","0.811","144.994","-5.183","0.0659","0.0","0.16","0.0173"
"22","Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes","Monster","['canadian pop', 'dance pop', 'pop', 'viral pop']","73","90","0.652","0.549","0.383","145.765","-7.076","0.0516","0.0","0.0828","0.0676"
"23","Life Is Good (feat. Drake)","Future","High Off Life","['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","72","91","0.795","0.537","0.574","142.053","-6.903","0.487","0.0","0.15","0.067"
"24","Don't Start Now","Dua Lipa","Don't Start Now","['dance pop', 'pop', 'uk pop']","79","94","0.794","0.677","0.793","123.941","-4.521","0.0842","0.0","0.0952","0.0125"
"25","Falling","Trevor Daniel","Nicotine","['alternative r&b', 'melodic rap', 'pop', 'pop rap']","3","72","0.784","0.236","0.43","127.087","-8.756","0.0364","0.0","0.0887","0.123"
"26","Stuck with U (with Justin Bieber)","Ariana Grande","Stuck with U","['dance pop', 'pop']","82","93","0.597","0.537","0.45","178.765","-6.658","0.0418","0.0","0.382","0.223"
"27","D??KITI","Bad Bunny","D??KITI","['latin', 'reggaeton', 'trap latino']","81","100","0.731","0.145","0.573","109.928","-10.059","0.0544","5.22e-05","0.113","0.401"
"28","Circles","Post Malone","Hollywood's Bleeding","['dfw rap', 'melodic rap', 'rap']","84","91","0.695","0.553","0.762","120.042","-3.497","0.0395","0.00244","0.0863","0.192"
"29","Savage Remix (feat. Beyonc??)","Megan Thee Stallion","Savage Remix (feat. Beyonc??)","['dance pop', 'houston rap', 'pop', 'trap queen']","68","87","0.822","0.636","0.743","84.459","-4.772","0.28","0.0","0.127","0.016"
"30","you broke me first","Tate McRae","you broke me first","['pop']","83","85","0.667","0.0823","0.373","124.148","-9.389","0.05","0.0","0.0906","0.785"
"31","Midnight Sky","Miley Cyrus","Midnight Sky","['dance pop', 'pop', 'post-teen pop']","62","87","0.705","0.259","0.814","110.0","-5.466","0.0346","0.00312","0.203","0.00115"
"32","Yummy","Justin Bieber","Yummy","['canadian pop', 'pop']","69","96","0.687","0.494","0.514","145.921","-6.612","0.0897","0.0","0.116","0.366"
"33","Before You Go","Lewis Capaldi","Divinely Uninspired To A Hellish Extent (Extended Edition)","['pop', 'uk pop']","81","82","0.459","0.183","0.575","111.881","-4.858","0.0573","0.0","0.0885","0.604"
"34","You should be sad","Halsey","Manic","['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop']","73","87","0.591","0.324","0.585","110.94","-6.35","0.0277","0.0","0.109","0.143"
"35","Adore You","Harry Styles","Fine Line","['pop']","84","93","0.676","0.569","0.771","99.048","-3.675","0.0483","7e-06","0.102","0.0237"
"36","How You Like That","BLACKPINK","How You Like That","['k-pop', 'k-pop girl group']","1","84","0.828","0.351","0.782","130.013","-4.014","0.0918","3.41e-05","0.0544","0.0694"
"37","Party Girl","StaySolidRocky","Party Girl","['melodic rap']","71","65","0.728","0.629","0.431","130.022","-9.966","0.0622","0.0","0.0996","0.749"
"38","ROXANNE","Arizona Zervas","ROXANNE","['pop rap', 'rhode island rap', 'social media pop']","78","72","0.621","0.457","0.601","116.735","-5.616","0.148","0.0","0.46","0.0522"
"39","For The Night (feat. Lil Baby & DaBaby)","Pop Smoke","Shoot For The Stars Aim For The Moon","['brooklyn drill']","80","88","0.823","0.347","0.586","125.971","-6.606","0.2","0.0","0.193","0.114"
"40","POPSTAR (feat. Drake)","DJ Khaled","POPSTAR (feat. Drake)","['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']","74","82","0.8","0.45","0.56","163.071","-4.818","0.261","0.0","0.134","0.057"
"41","Memories","Maroon 5","Memories","['pop', 'pop rock']","32","90","0.764","0.575","0.32","91.019","-7.209","0.0546","0.0","0.0822","0.837"
"42","Therefore I Am","Billie Eilish","Therefore I Am","['art pop', 'electropop', 'pop']","75","93","0.889","0.716","0.34","94.009","-7.773","0.0697","0.13","0.055","0.218"
